"Offense","Defense","Home","Offense Score","Defense Score","Period","Clock Minutes","Clock Seconds","Offense Timeouts","Defense Timeouts","Yards To Goal","Down","Distance","Scoring","Yards Gained","Play Type"
"Jacksonville State","UTEP","Jacksonville State","10","7","3","12","55","3","3","36","2","7","false","4","Rush"
"Jacksonville State","UTEP","Jacksonville State","10","7","3","12","55","3","3","32","3","3","false","2","Rush"
"Jacksonville State","UTEP","Jacksonville State","10","7","3","10","34","3","3","30","4","1","false","0","Rush"
"UTEP","Jacksonville State","Jacksonville State","7","10","3","10","34","3","3","70","1","10","false","0","Rush"
"UTEP","Jacksonville State","Jacksonville State","7","10","3","10","34","3","3","70","2","10","false","0","Pass Incompletion"
"UTEP","Jacksonville State","Jacksonville State","7","10","3","10","34","3","3","70","3","10","false","3","Pass Reception"
"UTEP","Jacksonville State","Jacksonville State","7","10","3","9","0","3","3","67","4","7","false","0","Punt"
"Jacksonville State","UTEP","Jacksonville State","10","7","3","9","0","3","3","66","1","10","false","0","Rush"
"Jacksonville State","UTEP","Jacksonville State","10","7","3","9","0","3","3","66","2","10","false","15","Penalty"
"Jacksonville State","UTEP","Jacksonville State","10","7","3","9","0","3","3","51","1","10","false","44","Rush"
"Jacksonville State","UTEP","Jacksonville State","17","7","3","7","47","3","3","7","1","7","true","7","Rushing Touchdown"
"Jacksonville State","UTEP","Jacksonville State","10","7","3","7","47","3","3","65","0","0","false","15","Kickoff"
"Jacksonville State","UTEP","Jacksonville State","17","7","3","7","47","3","3","65","0","0","false","0","Kickoff"
"UTEP","Jacksonville State","Jacksonville State","7","17","3","7","47","3","3","75","1","10","false","0","Pass Incompletion"
"UTEP","Jacksonville State","Jacksonville State","7","17","3","7","47","3","3","75","2","10","false","0","Pass Incompletion"
"UTEP","Jacksonville State","Jacksonville State","7","17","3","7","47","3","3","75","3","10","false","6","Pass Reception"
"UTEP","Jacksonville State","Jacksonville State","7","17","3","6","44","3","3","69","4","4","false","0","Punt"
"Jacksonville State","UTEP","Jacksonville State","17","7","3","6","44","3","3","86","1","10","false","2","Rush"
"Jacksonville State","UTEP","Jacksonville State","17","7","3","6","44","3","3","84","2","8","false","0","Pass Incompletion"
"Jacksonville State","UTEP","Jacksonville State","17","7","3","6","44","3","3","84","3","8","false","18","Rush"
"Jacksonville State","UTEP","Jacksonville State","17","7","3","6","44","3","3","66","1","10","false","2","Rush"
"Jacksonville State","UTEP","Jacksonville State","17","7","3","6","44","3","3","64","2","8","false","3","Rush"
"Jacksonville State","UTEP","Jacksonville State","17","7","3","6","44","3","3","61","3","5","false","16","Pass Reception"
"Jacksonville State","UTEP","Jacksonville State","17","7","3","6","44","3","3","45","1","10","false","5","Rush"
"Jacksonville State","UTEP","Jacksonville State","17","7","3","6","44","3","3","40","2","5","false","1","Rush"
