"Id","School"
"1000116","New York Law"
"1000117","Boston Latin High"
"1000118","Syracuse A.C."
"1000119","Boston English High"
"1000120","Lake View High"
"1000121","Temperance A.C."
"1000122","Chicago YMCA"
"1000123","Hyde Park High"
"1000124","Michigan A.C."
"1000125","Minnesota Alumni"
"1000126","University Club of Chicago"
"1000127","Englewood High"
"1000128","Englewood YMCA"
"1000129","Mount Hermon"
"1000130","Doane"
"1000131","Baker"
"1000132","Kansas City A.C."
"1000133","Pittsburgh A.C."
"1000134","Harvard Freshmen"
"1000135","Volunteer A.C."
"1000136","Denver A.C."
"1000137","Greenfield"
"1000138","Lawrenceville"
"1000139","Dean Academy"
"1000140","Bankers A.C."
"1000141","Yale Freshmen"
"1000142","Armour"
"1000143","Pastime A.C."
"1000144","Chicago Dining Club"
"1000145","Manual Training High"
"1000146","St. John's M.A."
"1000147","Camp Adams"
"1000148","C.M.T.S."
"1000149","Michigan Military Academy"
"1000150","Indianapolis Artillery"
"1000151","Rush Medical"
"1000152","Evanston High"
"1000153","Olivet"
"1000154","Hartford"
"1000155","F.A.A."
"1000156","Case"
"1000157","Prairie A.C."
"1000158","Hyde Park"
"1000159","Laureate Boat Club"
"1000160","Reliance A.C."
"1000161","Salt Lake YMCA"
"1000162","Butte A.C."
"1000163","Eureka"
"1000164","Newton A.C."
"1000165","Minneapolis Central High"
"1000166","Yale Consolidated"
"1000167","Elizabeth A.C."
"1000168","South Berwick"
"1000169","Western Reserve"
"1000170","Sioux City A.C."
"1000171","Minneapolis Boat Club"
"1000172","Illinois Cycling Club"
"1000173","Adelbert"
"1000174","Princeton Seminary"
"1000175","St. Steven's"
"1000176","Duquesne A.C."
"1000177","Pittsfield A.C."
"1000178","Hopkinson"
"1000179","Amherst YMCA"
"1000180","Baltimore A.C."
"1000181","Wheaton High"
"1000182","Minneapolis South High"
"1000183","Worcester A.C."
"1000184","Greer"
"1000185","Chicago Alumni"
"1000186","Hahnemann Medical"
"1000187","Northwestern Academy"
"1000188","Grand Rapids High"
"1000189","Madison High"
"1000190","Physicians & Surgeons"
"1000191","Pennsylvania Reserves"
"1000192","Bennett Medical"
"1000193","Mount Airy Deaf School"
"1000194","Maryland A.C."
"1000195","New Jersey A.C."
"1000196","White Squadron"
"1000197","York YMCA"
"1000198","Phoenix A.C."
"1000199","Williamsport"
"1000200","Newtowne A.C."
"1000201","Pennsylvania College"
"1000202","Lancaster Crescents"
"1000203","Mount St. Mary's"
"1000204","Maryland-Baltimore"
"1000205","Northwestern Alumni"
"1000206","Connecticut-Waterbury"
"1000207","Wisconsin Alumni"
"1000208","Purdue Alumni"
"1000209","Ohio Medical"
"1000210","Northwest Division High"
"1000211","Wisconsin-Whitewater"
"1000212","Austin High"
"1000213","Bradford National Guard"
"1000214","Phialdelphia YMCA"
"1000215","Dixon"
"1000216","Illinois Alumni"
"1000217","Campello"
"1000218","Portland A.C."
"1000219","West Division High"
"1000220","Panora"
"1000221","Northwestern Dental"
"1000222","Walton"
"1000223","Western (Iowa)"
"1000224","Lake Forest Academy"
"1000225","Shamokin"
"1000226","Lake Forest Alumni"
"1000227","Shattuck"
"1000228","Fitchburg YMCA"
"1000229","South Side Academy"
"1000230","Waukegan High"
"1000231","Newark A.C."
"1000232","Medford A.C."
"1000233","Pontiac A.C."
"1000234","Phoenix Indians"
"1000235","Cortland State"
"1000236","St. Paul Central High"
"1000237","North Division High"
"1000238","Sacred Heart (Wisconsin)"
"1000239","Des Moines Baptist"
"1000240","Grinnell Alumni"
"1000241","Indiana Alumni"
"1000242","Worcester Academy"
"1000243","Lincoln High"
"1000244","Goshen"
"1000245","Nebraska Alumni"
"1000246","St. Lawrence"
"1000247","S.B. Howard Park"
"1000248","La Salle"
"1000249","Vincennes"
"1000250","Camp Preble"
"1000251","Kansas City Medical"
"1000252","Tarkio"
"1000253","Needham"
"1000254","Homestead A.C."
"1000255","Fort Sheridan"
"1000256","Rockford YMCA"
"1000257","American Osteopath"
"1000258","South Bend A.C."
"1000259","Milwaukee Medical"
"1000260","Vermont Methodist Seminary"
"1000261","Marion Sims"
"1000262","Still"
"1000263","Chicago College"
"1000264","Medico-Chirurgical"
"1000265","Elgin Academy"
"1000266","SMTS"
"1000267","Chicago Medical"
"1000268","Clarkson"
"1000269","Des Moines"
"1000270","Philadelphia A.C."
"1000271","Burlingame A.C."
"1000272","Syracuse Alumni"
"1000273","Athens A.C."
"1000274","St. Paul's (New Hampshire)"
"1000275","Newburyport A.C."
"1000276","Rock Island A.C."
"1000277","Dickinson Seminary"
"1000278","Freeport High"
"1000279","Steelton YMCA"
"1000280","Boulder High"
"1000281","Colorado Springs High"
"1000282","Oak Ridge"
"1000283","Golden High"
"1000284","Grinnell High"
"1000285","Mooney"
"1000286","Onondaga"
"1000287","Chicago Dental"
"1000288","Bingham"
"1000289","Denver Manual High"
"1000290","St. Albans"
"1000291","Birmingham High"
"1000292","Quincy A.C."
"1000293","King"
"1000294","Marion"
"1000295","Central (Kentucky)"
"1000296","Tulane Alumni"
